city,kill_sum,severity_score
kabul,224.0,66.0
mogadishu,138.0,65.0
marib,130.0,64.0
palma,99.0,63.0
al-kasarah,83.0,62.0
daletti,80.0,61.0
solhan,80.0,61.0
sobha,80.0,61.0
al-mashjah,78.0,60.0
tchombangou,73.0,59.0
kunduz,72.0,58.0
ghazni,69.0,57.0
gwoza district,68.0,56.0
talat al hamra,67.0,55.0
sanaa,64.0,54.0
tessit,59.0,53.0
damboa,56.0,52.0
puli alam,56.0,52.0
ataye,54.0,51.0
alalay,50.0,50.0
yimlu,50.0,50.0
kara kore,50.0,50.0
kandahar,50.0,50.0
wisil,49.0,49.0
jalalabad,49.0,49.0
shikaan,48.0,48.0
rann,48.0,48.0
baghdad,47.0,47.0
abombi,46.0,46.0
qalat,46.0,46.0
boga,46.0,46.0
raghwan district,45.0,45.0
panjwai district,44.0,44.0
odugbeho,44.0,44.0
al-zour,44.0,44.0
lashkar gah,43.0,43.0
ghoryan district,43.0,43.0
ajiri,43.0,43.0
litri,42.0,42.0
aliabad district,41.0,41.0
kodyel,41.0,41.0
imam sahib district,40.0,40.0
boni,40.0,40.0
rokouna,39.0,39.0
haylan,39.0,39.0
yaklang,38.0,38.0
puli khumri,38.0,38.0
tekalgudem,37.0,37.0
wulgo,35.0,36.0
akofakof,35.0,36.0
damasak,35.0,36.0
wistane,35.0,36.0
lash wa juwayn district,35.0,36.0
intazayene,34.0,35.0
geidam,34.0,35.0
bakoarate,33.0,34.0
muqur district,33.0,34.0
gulsalk,32.0,33.0
zaroumdareye,32.0,33.0
sirwah district,32.0,33.0
bangui,31.0,32.0
farsi district,31.0,32.0
obe district,30.0,31.0
bonie kebele,30.0,31.0
tarin kot,30.0,31.0
qadis district,30.0,31.0
afrin,29.0,30.0
ai-jazeera al-eith,29.0,30.0
beu manyama-moliso,29.0,30.0
horoguduru,29.0,30.0
dare beri,29.0,30.0
qaysar,28.0,29.0
awdheegle,27.0,28.0
taizz,27.0,28.0
mazari sharif,27.0,28.0
maqbanah district,27.0,28.0
shahjoy district,27.0,28.0
tap-e-akhtar,26.0,27.0
shirin tagab district,26.0,27.0
barire,26.0,27.0
gizab district,26.0,27.0
tchabi,26.0,27.0
nahri saraj district,26.0,27.0
muramvya,26.0,27.0
maiduguri,26.0,27.0
gulran district,25.0,26.0
askira,25.0,26.0
qaysar district,25.0,26.0
aguelhoc,24.0,25.0
khanabad district,24.0,25.0
herat,24.0,25.0
almar district,24.0,25.0
al-makhdarah,24.0,25.0
samarra,23.0,24.0
gudunbali,23.0,24.0
baraki barak district,23.0,24.0
bolan,23.0,24.0
igangan,23.0,24.0
shahr-e safa,23.0,24.0
rasm al-ahmar,23.0,24.0
mwenda,22.0,23.0
durayhami district,22.0,23.0
ab band district,22.0,23.0
aqcha district,21.0,22.0
kohi,21.0,22.0
hays district,21.0,22.0
fataki,21.0,22.0
qala-i-naw,21.0,22.0
gandamak,21.0,22.0
zanda jan district,21.0,22.0
madgan tapa,21.0,22.0
shewan,20.0,21.0
wazir manda,20.0,21.0
balcad,20.0,21.0
horo-guduru,20.0,21.0
fayzabad district,20.0,21.0
hpakant,20.0,21.0
khwajah band kusha,20.0,21.0
atnago,20.0,21.0
bagh-e shamal,20.0,21.0
dara-i-sufi payin district,20.0,21.0
bacaadweyn,20.0,21.0
yirgou,19.0,20.0
yangon,19.0,20.0
guegorou,19.0,20.0
khash rod district,19.0,20.0
chah anjeer,19.0,20.0
muziranduru,18.0,19.0
sarkhab,18.0,19.0
sayed abad,18.0,19.0
anar dara district,18.0,19.0
taluqan,18.0,19.0
khost,18.0,19.0
ndalya,18.0,19.0
vingir,17.0,18.0
farah,17.0,18.0
mozogo,17.0,18.0
arghanj khaw district,17.0,18.0
tse nyipila,17.0,18.0
yooyo,17.0,18.0
tse guji,17.0,18.0
kenvanger,17.0,18.0
gololey,17.0,18.0
